TRRN,Date Of Credit,Amount,Wage Month,No. of Employee,ECR
3171702000767,03-FEB-2017 14:35:15,334901,DEC-16,83,YES
3171702008981,18-FEB-2017 17:19:39,368676,JAN-17,82,YES
3171703015004,27-MAR-2017 18:52:29,323680,FEB-17,81,YES
3171704002753,09-APR-2017 18:03:12,312990,MAR-17,78,YES
3171705004193,23-MAY-2017 20:37:47,335996,APR-17,75,YES
3171706007253,29-JUN-2017 19:50:24,343181,MAY-17,79,YES
3171707004340,24-JUL-2017 18:02:02,337463,JUN-17,78,YES
3171708014236,24-AUG-2017 18:35:19,314361,JUL-17,71,YES
3171709014768,04-OCT-2017 19:58:35,319064,AUG-17,72,YES
3171710011695,30-OCT-2017 19:10:07,335816,SEP-17,77,YES
3171711002801,23-DEC-2017 18:38:41,19846,JAN-16,36,YES
3171711002836,23-DEC-2017 18:39:51,19846,FEB-16,36,YES
3171711002855,23-DEC-2017 18:40:55,19846,MAR-16,36,YES
3171711002886,23-DEC-2017 18:42:01,19846,APR-16,36,YES
3171711002907,23-DEC-2017 18:43:02,23874,MAY-16,41,YES
3171711002926,23-DEC-2017 18:44:01,24926,JUN-16,42,YES
3171711002935,23-DEC-2017 18:45:17,24926,JUL-16,42,YES
3171711002941,23-DEC-2017 18:46:40,26042,AUG-16,45,YES
3171711002958,23-DEC-2017 18:47:47,26042,SEP-16,45,YES
3171711002973,23-DEC-2017 18:48:39,27403,OCT-16,48,YES
3171711002986,23-DEC-2017 18:49:41,27729,NOV-16,49,YES
3171711002996,23-DEC-2017 18:50:47,28223,DEC-16,50,YES
3171711003015,23-DEC-2017 18:51:47,34482,JAN-17,58,YES
3171711003026,23-DEC-2017 18:53:03,34482,FEB-17,58,YES
3171711008569,14-NOV-2017 20:46:39,352315,OCT-17,79,YES
3171712012002,15-DEC-2017 21:06:07,346036,NOV-17,78,YES
3171801006021,17-JAN-2018 13:35:43,382510,DEC-17,78,YES
3171802006503,13-FEB-2018 14:11:13,382978,JAN-18,78,YES
3171803002553,12-MAR-2018 20:44:56,377984,FEB-18,76,YES
3171803018723,28-MAR-2018 17:47:14,3232,JUL-17,1,YES
3171803018726,28-MAR-2018 17:48:34,3232,AUG-17,1,YES
3171804008232,11-APR-2018 21:43:01,361401,MAR-18,74,YES
3171805004258,10-MAY-2018 10:39:39,357804,APR-18,73,YES
3171806002154,12-JUN-2018 17:02:09,328428,MAY-18,67,YES
3171807009475,17-JUL-2018 11:51:00,414436,JUN-18,89,YES
3171808006061,15-AUG-2018 10:16:49,415834,JUL-18,91,YES
3171809005011,11-SEP-2018 17:54:33,411025,AUG-18,90,YES
3171810004028,08-OCT-2018 18:43:02,408663,SEP-18,89,YES
3171811001248,03-NOV-2018 16:47:58,408663,OCT-18,89,YES
3171812001677,06-DEC-2018 10:56:26,398020,NOV-18,86,YES
3171901006908,16-JAN-2019 10:28:13,413106,DEC-18,85,YES
3171901016138,18-MAY-2019 11:25:35,261763,DEC-18,52,YES
3171901018630,18-MAY-2019 11:24:15,249486,DEC-17,49,YES
3171902007182,11-FEB-2019 16:40:12,404047,JAN-19,80,YES
3171903003933,14-MAR-2019 18:06:46,390616,FEB-19,77,YES
3171904006063,16-APR-2019 10:45:59,359433,MAR-19,68,YES
3171905006673,11-MAY-2019 16:45:26,354109,APR-19,67,YES
3171906005828,14-JUN-2019 14:25:15,332550,MAY-19,63,YES
3171907003950,18-JUL-2019 20:34:41,352761,JUN-19,68,YES
3171908003295,16-AUG-2019 16:13:52,342862,JUL-19,66,YES
3171909008188,13-SEP-2019 02:58:02,340318,AUG-19,66,YES
3171910002991,09-OCT-2019 10:23:06,334132,SEP-19,64,YES
3171911003746,12-NOV-2019 07:43:37,320283,OCT-19,62,YES
3171912002102,12-DEC-2019 02:54:57,324715,NOV-19,62,YES
3172001006821,14-JAN-2020 11:03:25,363341,DEC-19,63,YES
3172001024181,03-FEB-2020 12:04:39,318847,DEC-19,47,YES
3172002001660,10-FEB-2020 19:56:10,364999,JAN-20,63,YES
3172003002743,06-MAR-2020 15:55:22,375485,FEB-20,65,YES
3172004000830,06-APR-2020 17:13:36,376909,MAR-20,65,YES
3172005000732,05-MAY-2020 10:52:57,385305,APR-20,65,YES
3172006001109,11-JUN-2020 20:02:31,385448,MAY-20,64,YES
3172007014985,21-JUL-2020 10:40:54,362602,JUN-20,61,YES
3172008005476,11-AUG-2020 10:19:34,348634,JUL-20,58,YES
3172009005965,10-SEP-2020 21:42:14,337561,AUG-20,56,YES
3172010011177,17-OCT-2020 05:11:17,275648,SEP-20,44,YES
3172011002979,12-NOV-2020 11:11:15,260063,OCT-20,40,YES
3172012005011,09-DEC-2020 13:10:42,261647,NOV-20,40,YES
3172101008796,12-JAN-2021 22:26:24,263929,DEC-20,41,YES
3172102016363,17-FEB-2021 04:57:29,265321,JAN-21,42,YES
3172103004212,09-MAR-2021 18:33:10,260711,FEB-21,42,YES
3172103022011,13-APR-2021 17:14:43,4462,DEC-20,1,YES
3172104007549,13-APR-2021 17:19:16,259645,MAR-21,41,YES
3172104007571,14-APR-2021 03:56:29,2417,FEB-21,1,YES
3172104007588,14-APR-2021 04:04:47,2416,JAN-21,1,YES
3172105004418,16-MAY-2021 12:27:05,265809,APR-21,39,YES
3172105005382,15-MAY-2021 19:49:28,189434,APR-21,28,YES
3172106010881,28-JUN-2021 10:56:22,5810,MAY-21,2,YES
3172106017984,18-JUN-2021 13:46:52,267581,MAY-21,39,YES
3172107008135,16-JUL-2021 09:38:01,267581,JUN-21,39,YES
3172108006996,11-AUG-2021 22:01:24,288548,JUL-21,45,YES
3172109005907,17-SEP-2021 19:49:37,286098,AUG-21,44,YES
3172110003098,14-OCT-2021 20:20:40,289427,SEP-21,46,YES
3172111009082,12-NOV-2021 20:37:11,296453,OCT-21,46,YES
3172112006873,14-DEC-2021 18:17:01,293351,NOV-21,45,YES
3172201007647,15-JAN-2022 08:51:04,293351,DEC-21,45,YES
3172202011522,14-FEB-2022 09:07:12,288749,JAN-22,46,YES
3172203012044,14-MAR-2022 18:08:32,279447,FEB-22,44,YES
3172204011106,12-APR-2022 18:40:11,326840,MAR-22,44,YES
3172204025081,04-MAY-2022 20:01:38,242896,FEB-22,31,YES
3172205014604,18-MAY-2022 20:24:56,313117,APR-22,45,YES
3172206006022,17-JUN-2022 12:11:32,301863,MAY-22,44,YES
3172207011601,15-JUL-2022 17:56:56,302368,JUN-22,43,YES
3172208016663,18-AUG-2022 01:51:15,304808,JUL-22,47,YES
3172209013555,13-SEP-2022 18:26:15,301501,AUG-22,48,YES
3172210005193,11-OCT-2022 17:22:00,288962,SEP-22,45,YES
3172211008648,17-NOV-2022 05:07:32,288962,OCT-22,45,YES
3172212008633,14-DEC-2022 10:58:16,288962,NOV-22,45,YES
3172301009548,23-JAN-2023 12:26:10,280854,DEC-22,45,YES
3172302005194,16-FEB-2023 12:20:14,253739,JAN-23,41,YES
3172303010726,15-MAR-2023 17:58:31,243504,FEB-23,40,YES
3172305003917,24-JUN-2023 15:44:55,334066,MAR-23,40,YES
3172305020467,24-JUN-2023 15:47:15,333724,APR-23,40,YES
3172306006841,24-JUN-2023 15:48:47,320076,MAY-23,38,YES
3172307014100,19-JUL-2023 12:30:10,320076,JUN-23,38,YES
3172308004384,05-SEP-2023 16:20:23,329337,JUL-23,42,YES
3172309003379,20-SEP-2023 11:50:39,338718,AUG-23,42,YES
3172310013132,16-OCT-2023 11:53:34,401999,SEP-23,46,YES
3172310027437,31-OCT-2023 16:11:56,268228,AUG-23,31,YES
3172311007798,16-NOV-2023 10:50:03,439943,OCT-23,46,YES
3172312007709,14-DEC-2023 12:43:16,339286,NOV-23,45,YES
